forrely,81,65,135,5,5,0,0,3,3,2,2,1294,77,1237
champions
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,1,0
9,0,2
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,1,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,1
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,1,0
42,0,0
43,0,0
44,0,0
45,0,0
48,0,0
50,0,0
51,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
67,0,0
68,0,0
69,0,0
72,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
89,0,0
90,0,0
91,0,0
92,0,0
96,0,1
98,0,0
99,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
117,0,0
119,0,0
120,0,0
121,0,0
122,0,0
126,1,0
127,0,0
131,0,0
133,0,0
134,0,0
143,0,0
154,0,0
222,0,0
236,1,1
238,0,0
254,0,0
266,0,0
267,0,0
412,0,0
items
1011,1,0
1026,0,1
1056,0,1
2043,2,0
2044,0,2
2045,2,2
3006,2,0
3020,0,1
3022,1,0
3026,0,1
3028,0,2
3035,4,1
3042,1,0
3065,1,0
3070,0,2
3072,4,1
3086,1,0
3089,0,1
3092,0,1
3093,1,0
3096,2,0
3102,1,0
3110,1,0
3111,1,2
3116,0,1
3134,1,0
3136,0,2
3142,1,1
3145,0,1
3157,0,1
3158,2,0
3172,1,1
3174,0,1
3190,0,1
3250,0,1
3255,0,2
